Input_Size,Time_Taken
1,0
11,0
21,0
31,0
41,0
51,0
61,0
71,0
81,0
91,0
101,0
111,0
121,0
131,0
141,0
151,0
161,0
171,0
181,0
191,0
201,0
211,0
221,0
231,0
241,0
251,0
261,0
271,0
281,0
291,0
301,0
311,0
321,0
331,0
341,0
351,0
361,0
371,0
381,0
391,0
401,0
411,0
421,0
431,0
441,0
451,0
461,0
471,0
481,0
491,0
501,0
511,0
521,0
531,0
541,0
551,0
561,0
571,0
581,0
591,0
601,0
611,0
621,0
631,0
641,0
651,0
661,0
671,0
681,0
691,0
701,0
711,0
721,0
731,0
741,0
751,0
761,0
771,0
781,0
791,0
801,0
811,0
821,0.002015
831,0
841,0
851,0
861,0
871,0
881,0
891,0
901,0
911,0
921,0
931,0
941,0
951,0
961,0
971,0
981,0
991,0
1001,0
1011,0
1021,0.005479
1031,0
1041,0
1051,0
1061,0
1071,0.001006
1081,0
1091,0
1101,0.00102
1111,0
1121,0.000552
1131,0
1141,0
1151,0
1161,0
1171,0
1181,0
1191,0
1201,0
1211,0
1221,0
1231,0
1241,0
1251,0
1261,0
1271,0
1281,0
1291,0
1301,0
1311,0
1321,0
1331,0
1341,0
1351,0
1361,0
1371,0
1381,0
1391,0
1401,0
1411,0
1421,0
1431,0
1441,0
1451,0
1461,0
1471,0
1481,0
1491,0
1501,0
1511,0
1521,0
1531,0
1541,0.014275
1551,0
1561,0
1571,0
1581,0
1591,0
1601,0
1611,0
1621,0
1631,0
1641,0
1651,0.00408
1661,0
1671,0
1681,0
1691,0
1701,0
1711,0
1721,0
1731,0
1741,0
1751,0
1761,0
1771,0
1781,0
1791,0
1801,0
1811,0
1821,0
1831,0
1841,0
1851,0
1861,0
1871,0
1881,0
1891,0
1901,0.011099
1911,0.000837
1921,0.000495
1931,0
1941,0
1951,0
1961,0
1971,0
1981,0
1991,0
2001,0
2011,0
2021,0
2031,0
2041,0
2051,0
2061,0
2071,0
2081,0
2091,0
2101,0
2111,0
2121,0
2131,0
2141,0
2151,0
2161,0
2171,0
2181,0
2191,0
2201,0
2211,0.01528
2221,0.001349
2231,0
2241,0
2251,0
2261,0
2271,0
2281,0
2291,0
2301,0
2311,0
2321,0
2331,0
2341,0
2351,0
2361,0
2371,0
2381,0
2391,0
2401,0
2411,0
2421,0
2431,0
2441,0
2451,0
2461,0
2471,0
2481,0.000969
2491,0
2501,0
2511,0
2521,0
2531,0
2541,0
2551,0
2561,0
2571,0
2581,0
2591,0
2601,0
2611,0
2621,0
2631,0
2641,0
2651,0
2661,0
2671,0
2681,0
2691,0
2701,0
2711,0.015662
2721,0.000605
2731,0
2741,0
2751,0
2761,0
2771,0
2781,0
2791,0
2801,0
2811,0
2821,0
2831,0
2841,0
2851,0
2861,0
2871,0
2881,0
2891,0
2901,0
2911,0
2921,0.015606
2931,0.000815
2941,0
2951,0
2961,0
2971,0
2981,0
2991,0
3001,0
3011,0
3021,0
3031,0
3041,0
3051,0
3061,0
3071,0
3081,0
3091,0
3101,0
3111,0
3121,0.014954
3131,0.001604
3141,0.000805
3151,0
3161,0
3171,0
3181,0.00381
3191,0
3201,0
3211,0
3221,0
3231,0
3241,0
3251,0
3261,0
3271,0
3281,0
3291,0
3301,0.011511
3311,0.000632
3321,0
3331,0
3341,0
3351,0
3361,0
3371,0
3381,0
3391,0
3401,0
3411,0
3421,0.013284
3431,0
3441,0.002407
3451,0.000769
3461,0.00101
3471,0.001038
3481,0.000959
3491,0
3501,0
3511,0
3521,0
3531,0
3541,0
3551,0
3561,0
3571,0
3581,0
3591,0
3601,0
3611,0.001013
3621,0.000995
3631,0.001004
3641,0.001541
3651,0
3661,0
3671,0
3681,0
3691,0
3701,0
3711,0
3721,0
3731,0
3741,0
3751,0.012154
3761,0.001664
3771,0
3781,0
3791,0
3801,0
3811,0
3821,0
3831,0
3841,0
3851,0
3861,0
3871,0
3881,0
3891,0.014969
3901,0.001705
3911,0
3921,0
3931,0
3941,0
3951,0
3961,0
3971,0
3981,0
3991,0
4001,0
4011,0
4021,0.014719
4031,0.001008
4041,0
4051,0
4061,0.004042
4071,0
4081,0
4091,0
4101,0
4111,0
4121,0
4131,0
4141,0
4151,0.011705
4161,0.00174
4171,0
4181,0
4191,0
4201,0
4211,0
4221,0
4231,0
4241,0
4251,0
4261,0
4271,0
4281,0.016289
4291,0.000776
4301,0
4311,0
4321,0
4331,0
4341,0
4351,0
4361,0
4371,0
4381,0
4391,0
4401,0.014494
4411,0.001481
4421,0
4431,0
4441,0
4451,0
4461,0
4471,0
4481,0
4491,0
4501,0
4511,0
4521,0.015321
4531,0.001187
4541,0.000924
4551,0.001512
4561,0
4571,0
4581,0
4591,0
4601,0
4611,0
4621,0
4631,0
4641,0.012986
4651,0.000688
4661,0
4671,0
4681,0
4691,0
4701,0
4711,0
